,STATION,DATE,TEMP,MAX,MIN,CELSIUS
428,RPM00098646,2018-03-05,82.76,89.60,75.92,28.20
429,RPM00098646,2018-03-06,83.48,90.32,76.46,28.60
430,RPM00098646,2018-03-07,83.48,89.96,,28.60
431,RPM00098646,2018-03-08,83.12,91.40,,28.40
432,RPM00098646,2018-03-09,81.86,89.96,,27.70
433,RPM00098646,2018-03-10,82.04,,75.56,27.80
434,RPM00098646,2018-03-11,78.62,86.72,,25.90
435,RPM00098646,2018-03-12,78.62,82.94,74.66,25.90
436,RPM00098646,2018-03-13,78.62,83.66,,25.90
437,RPM00098646,2018-03-14,82.04,86.90,75.02,27.80
438,RPM00098646,2018-03-15,81.14,87.80,,27.30
439,RPM00098646,2018-03-16,82.94,87.98,77.90,28.30
440,RPM00098646,2018-03-17,84.02,90.32,78.26,28.90
441,RPM00098646,2018-03-18,82.22,87.80,,27.90
442,RPM00098646,2018-03-19,81.86,,,27.70
443,RPM00098646,2018-03-20,82.76,89.60,75.56,28.20
444,RPM00098646,2018-03-21,81.68,89.24,,27.60
445,RPM00098646,2018-03-22,81.68,,,27.60
446,RPM00098646,2018-03-23,82.58,88.88,75.56,28.10
447,RPM00098646,2018-03-24,82.22,89.06,78.26,27.90
448,RPM00098646,2018-03-25,81.32,87.98,,27.40
449,RPM00098646,2018-03-26,80.96,88.52,,27.20
450,RPM00098646,2018-03-27,80.96,88.88,,27.20
451,RPM00098646,2018-03-28,81.68,88.70,73.76,27.60
452,RPM00098646,2018-03-29,81.14,88.88,,27.30
453,RPM00098646,2018-03-30,81.32,87.80,74.48,27.40
454,RPM00098646,2018-03-31,82.40,89.60,76.64,28.00
455,RPM00098646,2018-04-01,80.78,88.16,,27.10
