,STATION,DATE,TEMP,MAX,MIN,CELSIUS
1845,RP000098755,2018-01-20,79.52,86.00,74.48,26.40
1846,RP000098755,2018-01-21,75.38,83.66,73.76,24.10
1847,RP000098755,2018-01-22,78.08,82.76,74.12,25.60
1848,RP000098755,2018-01-23,78.08,86.36,73.40,25.60
1849,RP000098755,2018-01-24,77.54,85.64,,25.30
1850,RP000098755,2018-01-25,79.52,87.08,71.96,26.40
1851,RP000098755,2018-01-26,79.88,85.64,74.48,26.60
1852,RP000098755,2018-01-27,80.24,88.52,74.48,26.80
1853,RP000098755,2018-01-28,79.52,85.82,74.12,26.40
1854,RP000098755,2018-01-29,79.16,85.46,,26.20
1855,RP000098755,2018-01-30,78.26,86.72,,25.70
1856,RP000098755,2018-01-31,78.08,86.90,71.24,25.60
1857,RP000098755,2018-02-01,79.34,87.08,72.14,26.30
1858,RP000098755,2018-02-02,77.18,82.40,,25.10
1859,RP000098755,2018-02-03,78.26,85.28,,25.70
1860,RP000098755,2018-02-04,81.14,88.16,72.68,27.30
1861,RP000098755,2018-02-05,80.42,88.88,76.10,26.90
1862,RP000098755,2018-02-06,80.06,90.68,,26.70
1863,RP000098755,2018-02-07,78.62,88.70,,25.90
1864,RP000098755,2018-02-08,80.78,90.50,74.30,27.10
1865,RP000098755,2018-02-09,79.88,90.32,,26.60
1866,RP000098755,2018-02-10,79.52,92.30,73.22,26.40
1867,RP000098755,2018-02-11,81.14,89.24,72.50,27.30
1868,RP000098755,2018-02-12,77.18,88.16,75.20,25.10
1869,RP000098755,2018-02-13,82.94,89.78,74.66,28.30
1870,RP000098755,2018-02-14,82.58,86.90,75.38,28.10
1871,RP000098755,2018-02-15,80.24,86.36,,26.80
1872,RP000098755,2018-02-16,79.52,85.82,74.12,26.40
1873,RP000098755,2018-02-17,80.42,87.62,,26.90
1874,RP000098755,2018-02-18,76.82,80.78,74.30,24.90
1875,RP000098755,2018-02-19,79.16,86.36,74.48,26.20
1876,RP000098755,2018-02-20,81.32,87.98,73.40,27.40
1877,RP000098755,2018-02-21,80.24,88.70,74.30,26.80
1878,RP000098755,2018-02-22,80.78,86.00,73.22,27.10
1879,RP000098755,2018-02-23,80.60,86.90,,27.00
1880,RP000098755,2018-02-24,74.30,76.10,,23.50
1881,RP000098755,2018-02-25,77.18,83.30,72.68,25.10
1882,RP000098755,2018-02-26,80.42,85.10,73.76,26.90
1883,RP000098755,2018-02-27,79.70,85.46,75.02,26.50
1884,RP000098755,2018-02-28,79.88,86.00,74.48,26.60
1885,RP000098755,2018-03-01,80.60,85.28,75.38,27.00
1886,RP000098755,2018-03-02,80.96,86.18,,27.20
1887,RP000098755,2018-03-03,80.24,88.34,,26.80
1888,RP000098755,2018-03-04,78.98,86.18,73.22,26.10
1889,RP000098755,2018-03-05,81.50,87.44,73.40,27.50
1890,RP000098755,2018-03-06,79.88,86.36,73.76,26.60
